Replication,Phoenix,Denver,Chicago,Atlanta
684,12.731,99.6608,166.146,121.462
685,12.2749,98.9298,166.491,122.304
686,11.7602,98.2339,166.766,123.24
687,13.0585,97.0234,164.702,125.216
688,11.6316,98.0175,166.48,123.871
689,11.8363,99.5263,162.526,126.111
690,11.9591,97.8947,165.275,124.871
691,11.6725,100.129,163.936,124.263
692,12.848,97.848,167.673,121.632
693,12.5205,97.1637,165.222,125.094
694,12.5556,98.6725,165.298,123.474
695,12.2047,97.0877,166.649,124.058
696,11.7895,96.8538,164.456,126.901
697,13.1404,96.883,165.152,124.825
698,12.5205,97.1696,166.778,123.532
699,11.655,101.895,165.099,121.351
700,12.4678,95.9181,165.953,125.661
701,11.8947,100.146,164.444,123.515
702,11.5146,97.4854,163.614,127.386
703,12.2749,97.4561,166.515,123.754
704,12.6725,96.7602,165.626,124.942
705,12.0409,97.9357,165.246,124.778
