Replication,Phoenix_Avg,Denver_Avg,Chicago_Avg,Atlanta_Avg
263,11.9649,97.6433,166.2398,124.1520
264,11.5965,97.0526,165.8129,125.5380
265,11.0468,98.5848,165.5029,124.8655
266,12.4854,99.4620,163.1696,124.8830
267,12.5673,95.8129,166.0585,125.5614
268,11.7135,98.4971,166.3801,123.4094
269,12.1754,97.4561,166.4620,123.9064
270,12.3450,96.5029,166.9123,124.2398
271,11.4678,96.1345,167.1813,125.2164
272,11.4211,97.3333,167.6901,123.5556
273,12.5497,96.2690,165.1404,126.0409
274,12.8596,97.8713,165.7895,123.4795
275,12.4035,98.7602,165.7076,123.1287
276,13.4795,99.2456,163.7778,123.4971
277,11.8363,96.6959,166.5906,124.8772
278,11.0936,97.4094,167.8421,123.6550
279,12.6140,98.5088,166.6257,122.2515
280,12.8538,96.4971,165.2573,125.3918
281,12.9532,98.0702,166.3801,122.5965
282,12.4269,97.5906,164.8480,125.1345
283,11.6842,95.7895,167.2515,125.2749
284,12.1871,98.7836,163.7953,125.2339
285,14.3041,97.0936,163.9006,124.7018
286,13.3918,98.0877,165.0760,123.4444
287,12.8655,97.5965,164.8889,124.6491
288,12.3275,98.1988,165.3743,124.0994
289,13.1345,95.6959,167.2164,123.9532
290,12.3801,97.3918,166.8421,123.3860
291,12.1345,96.6608,166.9766,124.2281
292,12.2339,98.2339,166.0409,123.4912
293,11.5673,95.8772,167.8830,124.6725
294,12.4737,96.8421,166.4094,124.2749
295,12.6374,97.8421,164.8772,124.6433
296,12.3216,97.9415,164.8304,124.9064
297,12.4386,96.5380,166.1111,124.9123
298,12.7485,96.0117,167.3333,123.9064
299,12.0585,96.2515,166.6725,125.0175
300,12.0292,98.3509,163.7485,125.8713
301,12.0702,97.7427,165.4737,124.7135
302,12.2982,96.5556,166.0234,125.1228
303,12.1696,95.8070,164.1637,127.8596
304,12.4503,98.9123,165.2924,123.3450
305,12.0702,96.2749,166.2924,125.3626
306,10.9883,99.8772,166.7602,122.3743
307,12.6433,97.3275,164.5906,125.4386
308,12.1462,99.0409,164.1228,124.6901
309,11.7310,98.6082,168.4386,121.2222
310,12.4444,96.0117,164.7485,126.7953
311,11.6784,97.5146,165.5614,125.2456
312,13.6023,99.6374,162.4620,124.2982
313,12.3626,96.2398,165.3099,126.0877
314,13.4327,96.2456,165.4737,124.8480
315,12.3158,96.2456,166.9240,124.5146
316,12.2281,96.7602,167.7602,123.2515
317,11.6491,99.2047,166.1871,122.9591
318,13.6023,97.0468,167.8129,121.5380
319,12.5439,96.3333,165.7135,125.4094
320,13.1345,94.8655,166.4795,125.5205
321,12.1404,99.7368,164.1696,123.9532
322,13.6667,96.5263,166.3099,123.4971
323,12.9006,96.8187,164.9240,125.3567
324,12.6316,96.7135,165.9240,124.7310
325,12.5322,100.7135,167.9708,118.7836
326,12.7310,98.6199,166.6901,121.9591
327,12.3743,97.0994,163.8187,126.7076
328,12.8187,95.8363,165.7544,125.5906
329,12.7251,98.1287,164.0877,125.0585
330,12.0585,97.5848,165.3567,125.0000
331,12.0058,98.8363,167.0351,122.1228
332,11.7544,100.0175,163.9240,124.3041
333,12.8713,98.3918,165.9474,122.7895
334,11.8655,98.0175,165.6491,124.4678
335,13.6316,99.0351,164.1696,123.1637
336,13.7661,95.9006,163.8070,126.5263
337,11.9123,97.5848,165.2222,125.2807
338,11.8421,94.5789,166.5322,127.0468
339,12.0292,98.5614,165.3509,124.0585
340,12.6082,96.2515,166.7076,124.4327
341,12.9649,98.1637,165.9064,122.9649
342,12.8947,95.5088,166.0000,125.5965
343,11.5380,100.2456,167.4620,120.7544
