strategy,n_urgent,rule,rep,objective,el_app_wt,ur_scan_wt,el_scan_wt,ot
1,10,2,7,0.4562605359,14.77166201,3.315005787,0.2345816431,0.9358251556
1,10,2,8,0.4542889099,15.50875564,3.257773994,0.2260113904,1.022615376
1,10,2,9,0.4633181417,16.9955599,3.259386852,0.2321699388,0.8982199444
1,10,2,10,0.457564755,12.6709531,3.439281736,0.2220300194,0.9916275798
1,10,2,11,0.473650328,14.96790294,3.461001009,0.23430647,0.9839336297
1,10,2,12,0.4600547942,16.17842506,3.273791805,0.2277533694,0.8951677823
1,10,2,13,0.4283988801,11.10453135,3.260704312,0.2279721047,0.9619865774
1,10,2,14,0.4660567858,16.02047582,3.336271296,0.2295075377,0.9563726165
1,10,2,15,0.4636502126,13.73861618,3.436854618,0.2300594343,1.000962962
1,10,2,16,0.4490488898,12.44947439,3.37450388,0.2296692674,1.056266776
1,10,2,17,0.4545099312,14.1625931,3.331879036,0.2244662722,0.9491639419
1,10,2,18,0.4654271011,14.42337874,3.416162906,0.2280144484,0.9494962594
1,10,2,19,0.4494571183,14.08261428,3.290688299,0.2336119446,1.069778555
1,10,2,20,0.4394638729,12.79663161,3.26964102,0.2336388682,0.9887628839
1,10,2,21,0.4679728239,16.44050076,3.331014303,0.2378588578,0.9596741938
1,10,2,22,0.4629682222,16.02058268,3.3084685,0.2283913038,1.042743126
1,10,2,23,0.4687844199,15.60782522,3.382926285,0.2327671576,0.9008719771
1,10,2,24,0.4464912413,12.17787131,3.366035208,0.2277275056,1.040954564
1,10,2,25,0.4470644968,11.74577819,3.394342354,0.2292034809,0.9868197468
1,10,2,26,0.4798545263,17.91214328,3.359111632,0.2374516761,0.9291923392
1,10,2,27,0.4706545112,13.73288007,3.500200597,0.2263271768,0.9603275053
1,10,2,28,0.4585418778,13.43924104,3.406917559,0.2311040683,0.9960162019
1,10,2,29,0.427166722,11.89480178,3.207278974,0.2203090739,0.9758627194
1,10,2,30,0.4548906116,15.01359905,3.289715555,0.240917938,0.9109503668
1,10,2,31,0.4787390069,17.92940188,3.34814739,0.2325761339,1.011708204
1,10,2,32,0.4681726317,15.01431947,3.409215143,0.2317539082,0.8524559783
1,10,2,33,0.4661572236,14.74630338,3.405434474,0.2336628515,0.9958948842
1,10,2,34,0.448867579,11.98193687,3.397918736,0.2250377799,0.9601364918
1,10,2,35,0.4601340917,16.80593331,3.24088897,0.2383396972,0.9627248244
1,10,2,36,0.4579558863,16.60911488,3.231828966,0.2338459005,0.8594180983
1,10,2,37,0.4509959054,14.54358841,3.279842341,0.2290042838,0.9342331883
1,10,2,38,0.4516746042,15.06432118,3.258054232,0.2238152586,0.8758009451
1,10,2,39,0.4622426942,15.19243242,3.346303939,0.2271240441,0.9936560429
1,10,2,40,0.4562791214,15.19237812,3.292634694,0.227977382,0.965022668
1,10,2,41,0.4512654106,13.21766641,3.353299424,0.2298304582,0.8481701352
1,10,2,42,0.4684835744,14.36985155,3.446538694,0.2290177557,1.048573728
1,10,2,43,0.4442796698,13.63144254,3.268261178,0.2307978099,1.020826095
1,10,2,44,0.469429187,17.19531441,3.303685125,0.2372787218,0.9897025312
1,10,2,45,0.4494810212,12.75887475,3.361818044,0.2266683388,1.097026428
1,10,2,46,0.4488242771,11.681305,3.413634298,0.2241884088,0.9201677102
1,10,2,47,0.4738444912,15.73772308,3.421508113,0.2265577614,1.116124688
1,10,2,48,0.4507303016,13.396753,3.338889518,0.2284963827,1.020471855
1,10,2,49,0.456937291,11.93185004,3.473229366,0.2288019767,1.008256505
