replication,el_app_wt,ur_scan_wt,objective
473,16.23617121,2.680157939,0.3944392028
474,15.25406379,2.724108964,0.3934767725
475,17.66703646,2.826701346,0.4192388587
476,16.65353095,2.664432447,0.39517621
477,13.76286628,2.591582288,0.3698754107
478,13.03818852,2.734180123,0.3814060565
479,20.3878408,2.584754572,0.4085511477
480,20.78687124,2.688023727,0.4224006794
481,14.45326836,2.669321113,0.382622594
482,17.3254885,2.744932428,0.4081203997
483,13.79634869,2.709331007,0.3831579016
484,20.51237715,2.658886305,0.4175292947
485,13.8977715,2.731655741,0.3862421349
486,16.55872649,2.679754039,0.3963142969
487,17.07401103,2.699671927,0.4015945655
488,18.75341536,2.740912815,0.4161733407
489,18.76291803,2.669603527,0.40830665
490,14.84212648,2.726148203,0.3912513468
491,19.80695338,2.58467407,0.4050845398
492,16.28988432,2.697161909,0.3966482536
493,16.99192265,2.722676921,0.4036620546
494,14.34172462,2.723912823,0.3880243888
495,15.4274729,2.644925427,0.3857107989
496,18.60013048,2.724701401,0.4134596624
497,14.97460717,2.707954622,0.3900184134
498,17.6606194,2.743708749,0.4099792622
499,15.66734223,2.736225631,0.3972830596
500,21.69473462,2.801864925,0.4404536501
501,13.92570364,2.7636295,0.3899610376
502,15.47422799,2.687424525,0.3907112249
503,18.04023809,2.627895477,0.3993707559
504,17.00402711,2.686643383,0.3997303785
505,16.19084906,2.637899903,0.3894740907
506,10.96830217,2.593655218,0.353471426
507,16.02219782,2.642777109,0.3890121261
508,14.25321134,2.7199857,0.387061177
509,14.28917568,2.70302988,0.3853912705
510,14.84313714,2.594728894,0.3766552172
511,19.80248879,2.669241158,0.414454308
512,16.14111697,2.729572409,0.3993639005
513,17.19611408,2.646227071,0.396383052
514,23.22870384,2.58404958,0.4253827143
515,20.76474021,2.695749602,0.4231273777
516,16.56469669,2.837170237,0.4138405225
517,14.15560945,2.62129902,0.3755150268
518,14.4180327,2.801844749,0.3971377065
519,19.18417129,2.744299686,0.4191136831
520,16.78380518,2.73124667,0.4033754545
521,18.99689578,2.68241832,0.4111232406
522,19.13105669,2.682422102,0.4119222376
523,22.13093095,2.579102925,0.4182987235
524,15.09926361,2.729449117,0.3931486932
525,14.79419432,2.627331043,0.379986352
526,15.11023454,2.729269972,0.3931940914
527,21.53246755,2.690664846,0.4271322104
528,15.30527615,2.632097265,0.3835580859
529,15.27424118,2.738773329,0.3952262499
530,11.80106206,2.595715757,0.3586572789
531,15.0922589,2.544106385,0.3725133616
532,24.79158187,2.689869533,0.4464433323
533,14.8212509,2.741523992,0.3928355085
534,14.79964763,2.711384097,0.3893580403
535,15.61973493,2.645463807,0.3869150357
536,13.41605477,2.738356101,0.3841192578
537,18.54473336,2.658811666,0.4058088361
538,13.22672767,2.601556183,0.36779232
539,12.51813621,2.799333615,0.3855497839
540,16.27419787,2.692214183,0.3960051346
541,17.75649082,2.615597331,0.3963153234
542,18.30029027,2.738645598,0.4132242545
543,13.74812342,2.721186395,0.3841881118
544,25.45398822,2.633160373,0.4440852094
545,16.14580745,2.629962275,0.3883240273
546,18.3070347,2.721250038,0.41133156
547,14.21270617,2.67178328,0.3814642503
548,20.67007605,2.743918004,0.4279159451
549,14.95915499,2.779985102,0.3979298228
550,13.32178699,2.65846566,0.3746814245
551,14.16817779,2.689977345,0.3832207633
552,14.20105299,2.71842061,0.3865768117
553,16.36272583,2.711298875,0.3986526081
554,23.07319943,2.6829582,0.4354469394
555,16.02999345,2.764158521,0.4025453522
556,15.12641196,2.589632389,0.3777750985
557,18.89431378,2.643006207,0.4061335098
558,16.37536411,2.69235213,0.3966226421
559,18.25953396,2.691415002,0.4077338135
560,13.95323365,2.833520732,0.3978905991
561,14.2852964,2.693726944,0.38433452
562,15.8182682,2.75918748,0.4007327449
563,14.34846519,2.700139113,0.385422988
564,20.01983818,2.687236196,0.417747503
565,19.33455357,2.67921601,0.4127772962
566,18.97155967,2.594906976,0.4012489478
567,14.25599253,2.796771341,0.3956094696
568,21.41060527,2.780762631,0.4364177047
569,15.54740461,2.684852945,0.390861069
570,18.82727999,2.798983602,0.4230653207
571,12.56256317,2.610083829,0.3647864761
572,11.16826597,2.690001498,0.365366829
573,18.92636884,2.541780626,0.3950770269
574,20.07450298,2.698422066,0.4193157631
575,19.46583801,2.70491581,0.4164142845
576,17.45358657,2.658161802,0.3992417075
577,14.02496156,2.701870284,0.3836897235
578,15.34585598,2.840635325,0.406970528
579,17.53608683,2.812785265,0.4169131654
580,14.98478617,2.684646223,0.3874891806
581,15.91443817,2.595408606,0.3831075326
582,17.07395151,2.666326063,0.3978891152
583,20.83392162,2.636501648,0.4169560658
584,14.16848232,2.727347337,0.3873747973
585,17.15975391,2.76854949,0.4097580023
586,15.88161949,2.677153276,0.3919949245
587,14.6481921,2.684250525,0.3854416779
588,17.96002609,2.720093924,0.4091375754
589,14.47002321,2.732472319,0.3897391259
590,18.83918873,2.655977449,0.4072466336
591,14.76641341,2.634442142,0.3806111115
592,16.46405966,2.678771522,0.3956416354
593,16.95629615,2.725109625,0.4037202926
594,18.70054866,2.645289215,0.4052338136
595,16.12981576,2.665817964,0.3922128041
596,16.99381604,2.716474624,0.4029841807
597,17.42662494,2.663538867,0.3996786733
598,24.62621516,2.725694071,0.4494395109
599,12.18340565,2.61044743,0.3625699862
600,17.01840078,2.680917456,0.399179722
601,15.45458355,2.559163249,0.3763430409
602,14.87267953,2.625792075,0.3802825293
603,16.78203537,2.565619202,0.3849618679
604,15.51120772,2.577577341,0.3787260997
605,13.75712383,2.710826981,0.3830906397
606,16.05310826,2.72382982,0.3982019737
607,14.69299438,2.744539354,0.392407117
608,16.00776742,2.627356073,0.3872127824
609,15.87425051,2.69308997,0.3937218053
610,15.12096981,2.566053725,0.3751228532
611,22.93387171,2.548804102,0.4197115969
612,14.86170909,2.57665236,0.3747572608
613,21.25765743,2.697914671,0.4263019719
614,20.17678355,2.640705628,0.4135116385
615,17.11986061,2.74837592,0.4072790344
616,15.22547727,2.613574748,0.3810250351
617,16.89977607,2.694171416,0.3999462847
618,17.20510909,2.669404951,0.3990119137
619,15.75018482,2.668240448,0.390222261
620,19.21464769,2.671803299,0.4112399361
621,17.89417605,2.747650871,0.4118074939
622,14.17949399,2.789407916,0.3943359628
623,14.5318603,2.700314398,0.3865341016
624,14.91931471,2.790354007,0.3988447788
625,16.76834547,2.692834962,0.3990154648
626,26.58710958,2.738263904,0.4625081496
627,14.16808337,2.681645735,0.3822944668
628,25.12046405,2.752192498,0.4553257381
629,18.05339235,2.737446301,0.4116213689
630,14.20867851,2.639143862,0.3778136742
631,16.32597944,2.697173437,0.3968643865
632,12.27804097,2.782853026,0.382289469
633,22.70564392,2.617700357,0.4260082376
634,14.61999916,2.566135265,0.3721499451
635,16.29593144,2.724548976,0.399727256
636,13.63957383,2.663075092,0.3770851719
637,13.37999216,2.627101301,0.371542955
638,18.34534695,2.706012248,0.4098665213
639,12.4601589,2.717329565,0.3760931197
640,15.52869924,2.748218737,0.3977903711
641,18.07619466,2.66042636,0.4031993257
642,14.27932884,2.737161618,0.3891250737
643,15.140771,2.60375402,0.3794296391
644,21.43381593,2.880145637,0.4475984196
645,15.91464587,2.852769402,0.4117044129
646,13.21771095,2.545034603,0.3614584734
647,14.67237353,2.754909709,0.3934366355
648,13.54479802,2.669879559,0.3772770821
649,16.69133314,2.722460658,0.4018488021
650,14.36845468,2.776114226,0.3939836522
651,17.30423759,2.671070071,0.3997869777
652,13.08374209,2.648368659,0.3721426016
653,14.85189631,2.663685709,0.3843692235
654,15.73125305,2.588036672,0.3811980413
655,17.92112787,2.576776558,0.3929818866
656,17.40305826,2.774884353,0.4119101162
657,16.97392492,2.733416055,0.4047481624
658,14.98163027,2.718887131,0.3912749408
659,13.71388985,2.668525598,0.3781331409
660,13.45486858,2.528309307,0.3610117598
661,16.3556059,2.83094676,0.411904437
662,14.5532729,2.70120501,0.3867605144
663,17.34746776,2.709307907,0.4042929486
664,15.01101007,2.769572961,0.3970815795
665,15.84011115,2.76613134,0.4016343025
666,14.22212607,2.71544638,0.3863717767
667,14.17629707,2.72596895,0.3872681596
668,22.25535092,2.646396246,0.4265163543
669,24.10599176,2.77249518,0.4515430662
670,20.29041066,2.721173456,0.4231288602
671,17.53116019,2.684249631,0.402602103
672,16.93538171,2.767832562,0.4083427949
673,16.89814653,2.740658852,0.4051018558
674,14.56787078,2.721584117,0.3891117518
675,21.99802578,2.746321842,0.436087501
676,12.28489616,2.631205342,0.365480531
677,14.42954341,2.699973493,0.3858871942
678,16.81909114,2.665085223,0.3962342181
679,13.89040489,2.737225438,0.3868171413
680,14.81768383,2.74950508,0.3937010635
681,19.18564234,2.866528167,0.4327033818
682,13.94051006,2.645135422,0.3768831624
683,19.75862101,2.722842655,0.4201489121
684,14.64151115,2.733266574,0.3908481381
685,15.89982337,2.674631878,0.3918231256
