n_urgent,strategy,rule,mean_diff_objective,ci_low,ci_high,t_stat,p_value,significant,better_than_baseline,p_bonferroni,significant_bonferroni
16,2,4,0.003467315301494312,-0.0141140420263675,0.021048672629356124,0.3934340582729332,0.6952119938802378,False,False,1.0,False
16,3,1,-0.022396084024000156,-0.040004763133307066,-0.004787404914693247,-2.5373263299699116,0.01343405520045457,True,True,0.9538179192322744,False
16,3,2,-0.025775284683836504,-0.04337638558878393,-0.00817418377888908,-2.9214244200287443,0.0047057098067830655,True,True,0.33410539628159763,False
16,3,3,-0.02418144139342152,-0.04179340777705675,-0.006569475009786288,-2.7390840175186293,0.007833873853671885,True,True,0.5562050436107038,False
16,3,4,-0.0238973383583539,-0.04150013401633616,-0.006294542700371632,-2.7083132996346486,0.008519933286157053,True,True,0.6049152633171507,False
17,1,1,0.13748696979535815,0.10600167190544078,0.1689722676852755,8.711335715774508,1.0016454100843968e-12,True,False,7.111682411599217e-11,True
17,1,2,0.1339198201930869,0.10244596404720852,0.1653936763389653,8.488401613323454,2.557036748242522e-12,True,False,1.8154960912521905e-10,True
17,1,3,0.13574073998003003,0.10426073809053452,0.16722074186952554,8.602139473085153,1.5848973860196599e-12,True,False,1.1252771440739584e-10,True
17,1,4,0.1359196299913433,0.10444265582454804,0.16739660415813856,8.614304578244314,1.5058835612687793e-12,True,False,1.0691773285008333e-10,True
17,2,1,0.0697028607405924,0.03763850732975372,0.10176721415143108,4.336697536751168,4.829996288412856e-05,True,False,0.003429297364773128,True
17,2,2,0.06662080409753088,0.03456179688076093,0.09867981131430083,4.145632669985009,9.481891518266691e-05,True,False,0.0067321429779693505,True
17,2,3,0.06800176811377544,0.03594498671420607,0.10005854951334481,4.231860143001886,7.00655298033863e-05,True,False,0.004974652616040427,True
17,2,4,0.06848449587377196,0.03642374476191369,0.10054524698563023,4.261373371217725,6.312795210896523e-05,True,False,0.004482084599736531,True
17,3,1,0.046661177939109066,0.014664420927992028,0.0786579349502261,2.909248051631807,0.004871752374732216,True,False,0.3458944186059873,False
17,3,2,0.04330748722758262,0.011315285533272774,0.07529968892189245,2.7005353964071706,0.008701829357224942,True,False,0.6178298843629708,False
17,3,3,0.04488329369552341,0.012885738857147229,0.07688084853389959,2.798330104443067,0.00665339703486386,True,False,0.4723911894753341,False
17,3,4,0.045162738440365925,0.013171340087361087,0.07715413679337077,2.8162944611276384,0.006329158905831893,True,False,0.4493702823140644,False
18,1,1,0.2364369537205308,0.18999258896959914,0.2828813184714625,10.155781423993597,2.457804447959406e-15,True,False,1.745041158051178e-13,True
18,1,2,0.23286875201081786,0.18643597070280443,0.2793015333188313,10.005010168657522,4.570817908932557e-15,True,False,3.245280715342115e-13,True
18,1,3,0.2346877485822817,0.18825169591191085,0.2811238012526525,10.082451480954527,3.322702136513201e-15,True,False,2.359118516924373e-13,True
18,1,4,0.23485544117612125,0.18841816952765578,0.28129271282458673,10.089390891309455,3.2291720627777224e-15,True,False,2.292712164572183e-13,True
18,2,1,0.17208507587347796,0.12530545310802965,0.21886469863892627,7.338672542176621,3.2255751282575717e-10,True,False,2.290158341062876e-08,True
18,2,2,0.16891463030425247,0.12214006219881043,0.2156891984096945,7.204245403407515,5.665259678919993e-10,True,False,4.0223343720331955e-08,True
18,2,3,0.17029049210515135,0.12351429107816948,0.21706669313213323,7.262672662655236,4.435643092218657e-10,True,False,3.1493065954752463e-08,True
18,2,4,0.17077210638982723,0.12399649242312485,0.2175477203565296,7.28330430709275,4.0682961838104685e-10,True,False,2.8884902905054326e-08,True
18,3,1,0.15203130903522444,0.10528064291344855,0.19878197515700033,6.487483239758627,1.1143723215563059e-08,True,False,7.912043483049772e-07,True
18,3,2,0.14871332552006594,0.10196609856062015,0.19546055247951172,6.346365040411435,1.9901848369469528e-08,True,False,1.4130312342323366e-06,True
18,3,3,0.150275765682712,0.10352695724584696,0.19702457411957705,6.412825476724808,1.515032951102708e-08,True,False,1.0756733952829226e-06,True
18,3,4,0.1505538329265501,0.10380656154760505,0.1973011043054952,6.424902884469063,1.4416668461500416e-08,True,False,1.0235834607665296e-06,True
19,1,1,0.39635239659968113,0.33384714900394535,0.4588576441954169,12.65016021498397,1.2034315681532666e-19,True,False,8.544364133888193e-18,True
19,1,2,0.39275425762410676,0.33025301531120954,0.455255499937004,12.536123707566333,1.8648956768809873e-19,True,False,1.324075930585501e-17,True
19,1,3,0.39453920660086406,0.3320353264320245,0.4570430867697036,12.592565120154426,1.501111417899389e-19,True,False,1.0657891067085663e-17,True
19,1,4,0.39475574892608906,0.3322548175853839,0.4572566802667942,12.600070983173278,1.4584551761535618e-19,True,False,1.0355031750690289e-17,True
19,2,1,0.3245619365414628,0.26165639209147623,0.3874674809914494,10.292945604127198,1.400127832556326e-15,True,False,9.940907611149914e-14,True
19,2,2,0.3212987172332158,0.25839522075047594,0.38420221371595564,10.189789736093886,2.1374124851360534e-15,True,False,1.517562864446598e-13,True
19,2,3,0.3226595017946545,0.2597551528827327,0.38556385070657634,10.232807506637077,1.7915267505762727e-15,True,False,1.2719839929091536e-13,True
19,2,4,0.32315993995261827,0.26025626844192784,0.3860636114633087,10.24878874431426,1.677877591604836e-15,True,False,1.1912930900394336e-13,True
19,3,1,0.3081495770999667,0.24538289000888058,0.37091626419105284,9.79407412582902,1.0922804406270266e-14,True,False,7.755191128451889e-13,True
19,3,2,0.30481589664515263,0.24205440932896943,0.3675773839613358,9.688920729373013,1.6885130229883393e-14,True,False,1.1988442463217209e-12,True
19,3,3,0.3063997920084387,0.24363507662172518,0.3691645073951522,9.738765745864274,1.3733726286131435e-14,True,False,9.750945663153318e-13,True
19,3,4,0.3066573671170682,0.24389441326799205,0.36942032096614436,9.747226206244866,1.3260760708630352e-14,True,False,9.41514010312755e-13,True
20,1,1,0.602296676694954,0.5255504339563928,0.6790429194335152,15.656127920164684,2.107956306079465e-24,True,False,1.4966489773164203e-22,True
20,1,2,0.5987068164908328,0.5219650761932072,0.6754485567884584,15.563725997347387,2.9016661503700732e-24,True,False,2.060182966762752e-22,True
20,1,3,0.600489669493024,0.5237460028670564,0.6772333361189915,15.609680454973505,2.4749509599095247e-24,True,False,1.7572151815357625e-22,True
20,1,4,0.600696004603748,0.5239523458512587,0.6774396633562372,15.615045721528285,2.4294546124900983e-24,True,False,1.7249127748679699e-22,True
20,2,1,0.5242540373836688,0.4471014382217092,0.6014066365456284,13.555709069950202,3.934796031341538e-21,True,False,2.793705182252492e-19,True
20,2,2,0.5209350051634262,0.44378264799475886,0.5980873623320935,13.469930644474092,5.416328447266026e-21,True,False,3.8455931975588785e-19,True
20,2,3,0.5222807416644627,0.44512611225699206,0.5994353710719333,13.504329927886891,4.7643184263766524e-21,True,False,3.382666082727423e-19,True
20,2,4,0.5227693267833334,0.445618757392069,0.5999198961745978,13.517674332850651,4.5332454478042705e-21,True,False,3.218604267941032e-19,True
20,3,1,0.5106423334682054,0.4335771917070344,0.5877074752293765,13.218733640548846,1.3882204455199818e-20,True,False,9.85636516319187e-19,True
20,3,2,0.5073264454659324,0.43026556904643787,0.584387321885427,13.133623874655022,1.913104312823681e-20,True,False,1.3583040621048136e-18,True
20,3,3,0.5089111726149161,0.4318478950121635,0.5859744502176688,13.174238652791358,1.6414356780316e-20,True,False,1.1654193314024359e-18,True
20,3,4,0.509157019939688,0.43209546445740815,0.5862185754219678,13.180897480481207,1.600764161199419e-20,True,False,1.1365425544515875e-18,True
