n_urgent,strategy,rule,awt_e_hours_mean,awt_e_hours_std,awt_e_hours_ci_low,awt_e_hours_ci_high,swt_e_min_mean,swt_e_min_std,swt_e_min_ci_low,swt_e_min_ci_high,swt_u_min_mean,swt_u_min_std,swt_u_min_ci_low,swt_u_min_ci_high,overtime_min_mean,overtime_min_std,overtime_min_ci_low,overtime_min_ci_high,objective_mean,objective_std,objective_ci_low,objective_ci_high
14,1,3,23.719148041297597,8.304887971939756,21.708936895087547,25.729359187507647,9.326731282360734,0.15789153033270195,9.288513390049681,9.364949174671787,153.8872145691697,4.073863026763962,152.9011296403659,154.87329949797353,16.739602797362952,1.101052250929799,16.473091374829966,17.006114219895938,0.426161728283964,0.05075993765921636,0.4138752058398026,0.4384482507281254
14,1,4,23.814042309470498,8.304870591769797,21.80383537015782,25.824249248783175,4.975249811467045,0.16208514893602377,4.936016847202241,5.0144827757318495,154.66181241215813,4.088240480883216,153.67224739805727,155.651377426259,17.24727941669452,1.1335153722930944,16.972910244770365,17.521648588618678,0.4281610155683051,0.05081603971656187,0.4158609135332591,0.4404611176033511
14,2,1,23.557320167938197,8.316230399204416,21.544363569436737,25.570276766439658,4.977571384510302,0.19815499104859252,4.929607658445735,5.025535110574869,127.71700510400682,3.87693105198031,126.77858786826434,128.6554223397493,22.92593381998671,1.1341720855906878,22.651405689579892,23.200461950393528,0.37673511627160244,0.050773860724511635,0.3644452237276708,0.3890250088155341
14,2,2,23.317436559690094,8.316306374741838,21.304461571190757,25.33041154818943,10.341293764196006,0.31680469673455913,10.264610690962598,10.417976837429414,128.42727995244,3.9070140402343747,127.48158108225476,129.3729788226252,18.777793641561335,1.1008601735813162,18.511328711651508,19.04425857147116,0.37662256144447276,0.05070474563257167,0.36434939831683893,0.3888957245721066
14,2,3,23.427110675995277,8.316246138428083,21.414150267790063,25.44007108420049,9.408789090341758,0.20748799407153376,9.358566296271974,9.459011884411542,129.26114522042823,3.9353664909095123,128.30858359513275,130.21370684572372,20.773614577741814,1.1109374009985586,20.50471043914603,21.042518716337597,0.37881957850605585,0.05074128998963368,0.3665375697595352,0.3911015872525765
14,2,4,23.532320167938202,8.316230399204416,21.51936356943674,25.545276766439663,5.121783371058838,0.20275423418117777,5.072706390987656,5.1708603511300195,126.90196112240146,3.881390651859643,125.96246443352062,127.8414578112823,21.900508808220437,1.1270007513296443,21.627716510507984,22.17330110593289,0.37507696604111634,0.05074470147047446,0.3627941315403129,0.38735980054191976
14,3,1,23.36005802483914,8.177230736690042,21.380746512442382,25.3393695372359,4.6904463690408065,0.16327996996850475,4.650924196472973,4.72996854160864,143.90677080417905,4.613638193210321,142.79003245058442,145.02350915777367,26.58648398057314,1.1248286958288016,26.314217432297973,26.858750528848304,0.4055419844413053,0.04858584445121709,0.3937817046646412,0.4173022642179694
14,3,2,23.12536124042592,8.177265688265601,21.146041267945535,25.104681212906307,9.741699845774438,0.27220986938764774,9.67581102037423,9.807588671174646,143.03084082723203,4.599532701006463,141.9175167301267,144.14416492433736,22.299030117650013,1.1055440566217232,22.031431446511263,22.566628788788762,0.402522887222277,0.048588021524930754,0.39076208048150934,0.4142836939630447
14,3,3,23.235089690234357,8.177185778418083,21.25578906005777,25.214390320410946,9.01394304467338,0.16761783849775214,8.973370884231207,9.054515205115555,143.67130897549433,4.623608157560393,142.55215737640722,144.79046057458143,24.603410358463233,1.1353372703514837,24.32860019325938,24.878220523667085,0.4043620848832628,0.04857134349970337,0.39260531508463353,0.4161188546818921
14,3,4,23.335058024839142,8.177230736690042,21.355746512442384,25.3143695372359,4.750034561064259,0.16472079597262348,4.710163634304555,4.7899054878239635,142.8688492928631,4.612517250906649,141.75238226510945,143.98531632061676,25.526744981339522,1.1307956685924683,25.253034117957498,25.800455844721547,0.4034710980446884,0.04855779514708037,0.3917176076460399,0.4152245884433369
